Country;Year_survey;Index;Headcount_(%);Intensity_of_deprivation;Number_of_poor_(year_of_survey);Number_of_poor_2016;Population_vulnerable_to_multidimensional_poverty;Population_in_severe_multidimensional_poverty ;Contribution of depr (Health);Contribution of depr (Education);Contribution of depr (Standard of living)
Uzbekistan;2006 M;0,0163125710;4,3792355810;37,2498154600;1177,5880090000;1377,1292720000;10,1369436800;0,3222693460;32,9967349800;33,9367836700;33,0664813500
Algeria;2012/2013 M;0,0082040450;2,1141771230;38,8049036300;810,5451281000;858,4838257000;5,8985006060;0,2817123430;30,2507698500;46,6448366600;23,1043905000
The former Yugoslav Republic of Macedonia;2011 M;0,0095581320;2,5327704850;37,7378553200;52,4887074900;52,7121734600;2,8599824760;0,2431194760;42,0911580300;17,5243258500;40,3845161200
Tunisia;2011/2012 M;0,0052534110;1,3236835600;39,6878153100;144,1050345000;150,9429169000;3,7468273190;0,1851673010;38,9843553300;29,1454374800;31,8702071900
Albania;2008/2009 D;0,0076925930;2,0343005660;37,8144383400;60,2689005700;59,5307121300;7,3034621780;0,1558323970;45,4906433800;34,0257555200;20,4836010900
Montenegro;2013 M;0,0017485140;0,3825773250;45,7035332900;2,3991194140;2,4049384590;4,2692936260;0,1357517670;79,6649038800;7,2166539730;13,1184428900
Thailand;2015/2016 M;0,0030834560;0,7888953200;39,0857428300;543,2610550000;543,2610474000;7,2281566450;0,1317346470;33,0524891600;29,9376964600;37,0098114000
Serbia;2014 M;0,0014399440;0,3390186930;42,4738943600;30,1208341800;29,9017295800;3,3997619990;0,1049077840;62,4933600400;16,9892609100;20,5173760700
Trinidad and Tobago;2011 M;0,0024179250;0,6365606560;37,9841983300;8,4967352510;8,6888113020;3,6814434450;0,0993233990;54,4057011600;31,6374927800;13,9568105300
Jordan;2012 D;0,0046052860;1,2973830100;35,4967355700;103,6942868000;122,6779633000;0,9476736190;0,0872062870;40,2672171600;52,8101205800;6,9226756690
Libya;2014 P;0,0073083010;1,9722921770;37,0548576100;122,3631348000;124,1213379000;11,3048004000;0,0844370280;69,4753110400;7,5260974470;22,9985952400
Maldives;2009 D;0,0068644210;1,8750023100;36,6102010000;6,6469021250;8,0204353330;5,3084667770;0,0710946510;9,1834820810;42,3809111100;48,4356075500
Palestine State of;2014 M;0,0037164290;0,9887202640;37,5882744800;44,8624384700;47,3666725200;5,4197677410;0,0707158180;67,7672326600;11,8890151400;20,3437507200
Moldova (Republic of);2012 M;0,0035339050;0,9436331690;37,4499887200;38,4408117700;38,3078079200;3,6347202960;0,0632738400;38,9384001500;48,5142499200;12,5473484400
Bosnia and Herzegovina;2011/2012 M;0,0083074960;2,1901335570;37,9314601400;79,9004524200;77,0229644800;4,0741872040;0,0620316130;55,4233193400;32,5177788700;12,0588995500
Kyrgyzstan;2014 M;0,0083006590;2,2858336570;36,3134861000;131,9969709000;136,1381683000;8,3374775950;0,0371086500;52,7806162800;12,9187792500;34,3006044600
Barbados;2012 M;0,0085288620;2,4913368750;34,2340767400;7,0152306890;7,1002106670;0,4917953160;0,0000000000;33,1113874900;36,7746889600;30,1139205700
Saint Lucia;2012 M;0,0072018620;1,9211310890;37,4876141500;3,3588097320;3,4199016090;1,6434136780;0,0000000000;87,9739701700;4,4095810500;7,6164498930
Kazakhstan;2015 M;0,0016108640;0,4530430310;35,5565398900;80,4135432200;81,4921875000;1,7798501530;0,0000000000;90,4434263700;3,1135251750;6,4430475230
Turkmenistan;2015/2016 M;0,0014547740;0,4031916150;36,0814601200;22,8309021900;22,8309021000;2,4901845490;0,0000000000;60,6752276400;35,9404087100;3,3843696120
Ukraine;2012 M;0,0008297030;0,2406433460;34,4785213500;109,1301498000;106,9385910000;0,4186271460;0,0000000000;59,8214745500;28,7259370100;11,4525869500
Armenia;2015/2016 D;0,0006754480;0,1865159950;36,2139463400;5,4552494870;5,4552493100;2,7262957530;0,0000000000;96,0469603500;0,6609572100;3,2920867200
